name,title,room_code,start_time,talk_length,question_length,chair
"Hai-Tao Jiao,Yun-Bo Xu","Effect of recrystallization annealing temperature on microstructure, texture and magnetic properties of non-oriented silicon steel produced by strip casting",ictp-rpi-7,21/09/2017:1000,15,4,Balan
Firas Jarrar,Using Coupled Eulerian Lagrangian Formulation for Accurate Modeling of the Friction Stir Welding Process,ictp-rpi-2,19/09/2017:1400,15,4,Fratini
Jin-Hwan Kim,Characterization of dynamic hardening behavior using acceleration information,ictp-rpi-9,20/09/2017:1600,15,4,Gronostajski
Robby Mannens,Analysis of surface defects on industrial casting tools for automotive applications after machine hammer peening,ictp-rpi-3,18/09/2017:1600,15,4,Merklein
Bo Wang,Analysis on heating performance and thermal forming of lightweight alloy using pulse current heating,ictp-rpi-7,18/09/2017:1320,15,4,Bambach
Stefan Junk,Application of 3D (color) printing for the visualization and optimization of complex plastic forming proces,ictp-rpi-8,19/09/2017:1220,15,4,Ghiotti
Yong LI,Effects of asymmetric creep-ageing behaviour on springback of AA2050-T34 after creep age forming,ictp-rpi-4,18/09/2017:1440,15,4,Lin
Yeong-Maw Hwang,Study of Compound Hydroforming of Profiled Tubes,ictp-rpi-8,20/09/2017:1600,15,4,Qin
Jianglin Huang,A Dynamic Model for Simulation of Hot Radial Forging Process,ictp-rpi-5,20/09/2017:1640,15,4,J-X Xie
Zbigniew Gronostajski,Influence of the application of a PN+CrN hybrid layer on improvement of the lifetime of hot forging tools,ictp-rpi-5,21/09/2017:1120,15,4,C-G Kang
Chris Nielsen,Overview of friction modelling in metal forming processes,ictp-rpi-1,21/09/2017:0940,15,4,Hyakawa
Sergey Golovashchenko,Trimming and sheared edge stretchability of light weight sheet metal blanks,ictp-rpi-4,19/09/2017:1540,15,4,Zhao
Yong Hou,Springback prediction of sheet metals using improved material models,ictp-rpi-5,20/09/2017:1140,15,4,F Yoshida
Song Deng,Influence of hot ring rolling on uniform deformation of High-speed rail bearing ring,ictp-rpi-8,18/09/2017:1500,15,4,Hirt
Baoyu Wang,Applying the damage constitutive model for predicting thermal deformation of AA7075 aluminum sheet,ictp-rpi-5,20/09/2017:1000,15,4,F Yoshida
Keisuke Yokoya,Deformation behavior of axially compressed aluminum polygonal tube,ictp-rpi-9,20/09/2017:1620,15,4,Gronostajski
Andreas Sterzing,Hot forming of large spur gears,ictp-rpi-3,18/09/2017:1340,15,4,Ou
Zhaobing Liu,Friction stir incremental forming of AA7075-O sheets: investigation on process feasibility,ictp-rpi-5,18/09/2017:1320,15,4,Doflou
Chunguo Xu,Analysis and experimental study on compound mechanical bulging process for Medium-sized Vehicle Drive Axle Housing,ictp-rpi-3,21/09/2017:0940,15,4,Music
Zhengyang Cai,Evolving hardening behaviors of high strength steel sheets under altered loading paths,ictp-rpi-5,19/09/2017:1120,15,4,van den Boogaard
Chuang Ren,Quantification analysis of the heterogeneity of microstructure of dual phase steel,ictp-rpi-7,21/09/2017:1020,15,4,Balan
Ji-woo Park,A predictive model of flexibly-reconfigurable roll forming process using regression analysis.,ictp-rpi-4,20/09/2017:1000,15,4,Altan
Ken-ichiro Mori,2-stage progressive-die hot stamping of ultra-high strength steel parts using resistance heating,ictp-rpi-7,18/09/2017:1620,15,4,Brosius
Martin Krech,Controlling the sensor properties of smart structures produced by metal forming,ictp-rpi-3,21/09/2017:1520,15,4,Groche
Guoqun Zhao,Study on the welding quality in the porthole die extrusion process of aluminum alloy profiles,ictp-rpi-7,20/09/2017:1000,15,4,Y-M Hwang
Zhongkai Ren,Experimental study on transverse displacement of the metal during cold thin strip rolling,ictp-rpi-8,19/09/2017:1420,15,4,Pesin
Yongqian Xu,Numerical simulation of temperature field in large integral panel during age forming process: Effect of autoclave characteristics,ictp-rpi-4,18/09/2017:1320,15,4,Lin
Johannes Richter,Quality optimization for aluminum precision forging processes in completely enclosed dies of long forging parts by prediction and avoidance of thin flash generation,ictp-rpi-5,20/09/2017:1700,15,4,J-X Xie
Evripides G. Loukaides,Toolpath generation for asymmetric mandrel-free spinning,ictp-rpi-6,21/09/2017:1220,15,4,Nagy
Stefan Golling,Modelling of Plastic Deformation and Fracture in Hot Stamped Steel with Multi-Phase Microstructure,ictp-rpi-7,18/09/2017:1640,15,4,Brosius
Jose Divo Bressan,Analysis of metal extrusion by the Finite Volume Method,ictp-rpi-7,20/09/2017:1140,15,4,Y-M Hwang
Francisco Chinesta,Data-Driven Computational Plasticity,ictp-rpi-6,20/09/2017:1500,15,4,Madej
Ruibin Gou,Research on grain feature parameters based on inhomogeneous plastic deformation in microstructure of ferrite/martensite dual phase steels,ictp-rpi-7,21/09/2017:1040,15,4,Balan
Tatsuhiko Aizawa,Fine piercing of electromagnetic steel sheets by the plasma-nitrided tools,ictp-rpi-1,18/09/2017:1500,15,4,Furushima
Markus Grüber,A strategy for the controlled setting of flatness and residual stress distribution in sheet metals via roller levelling,ictp-rpi-8,19/09/2017:1440,15,4,Pesin
XiaoGuang Fan,Microstructure evolution in near isothermal forming of titanium alloy component,ictp-rpi-4,18/09/2017:1720,15,4,Bruschi
Thoms Blohm,Basic study of incremental forming of serially arranged hybrid parts using cross-wedge rolling,ictp-rpi-1,20/09/2017:1600,15,4,Geijselaers
Satoshi Sumikawa,Stress state dependency of unloading behavior in high strength steels,ictp-rpi-5,20/09/2017:1200,15,4,F Yoshida
Zhutao Shao,The optimisation of cruciform specimen for the formability evaluation of AA6082 under hot stamping conditions,ictp-rpi-5,19/09/2017:1640,15,4,Mori
Moonwoo La,Direct Metal to Metal Imprinting for developing 1-step Manufacturing Process of Patterned Metal Surface,ictp-rpi-1,18/09/2017:1420,15,4,Otsu
Hideaki Furumoto,Reduction of off-centering at tail end caused by unstable work roll position with mill stabilizing device in hot rolling,ictp-rpi-2,21/09/2017:1000,15,4,Montmitonnet
Jianlin Sun,The Distribution of Oil Film on Work Piece and Rollers in Cold Rolling Using O/W Emulsions,ictp-rpi-1,20/09/2017:1000,15,4,Matsumoto
Lei Chen,The dependence of the tensile deformation behavior on the annealing temperature of a TRIP-aided lean duplex stainless steel,ictp-rpi-7,18/09/2017:1440,15,4,Bambach
Lars Thyssen,Compensating geometric inaccuracies in incremental sheet forming at elevated temperatures,ictp-rpi-6,19/09/2017:1620,15,4,Homberg
Pascal Fischer,A knowledge-based control system for the robust manufacturing of deep drawn parts,ictp-rpi-9,18/09/2017:1540,15,4,Chan
Gang Niu,Hybrid nanostructure stainless steel with super-high strength and toughness,ictp-rpi-6,18/09/2017:1340,15,4,Pietrzyk
Xudong Yan,Effects of lubricants on the rolling performances of cold rolled copper strips,ictp-rpi-1,20/09/2017:1020,15,4,Matsumoto
Fei Feng,The research of electromagnetic incremental forming process of aluminum alloy sheet and the interaction between the die and the sheet,ictp-rpi-4,20/09/2017:1520,15,4,Golovashchenko
Yasushi Maeda,Development of Flexible-Tailored Aluminum Sheet,ictp-rpi-8,19/09/2017:1500,15,4,Pesin
Maciej Pietrzyk,Modelling and optimization of the manufacturing chain for rails,ictp-rpi-7,21/09/2017:1140,15,4,Balan
José Azevedo,The deformation of metal powder particles: hardness and microstructure,ictp-rpi-4,21/09/2017:1140,15,4,Beygelzimer
Esmeray Üstünyagiz,Continuous Strip Reduction Test Simulating Tribological Conditions in Ironing,ictp-rpi-1,21/09/2017:1140,15,4,Hyakawa
Omer Music,Simulation of incremental sheet forming using partial sheet models,ictp-rpi-5,18/09/2017:1720,15,4,Manabe
Rongchuang Chen,Austenite grain growth and grain size distribution in isothermal heat-treatment of 300M steel,ictp-rpi-7,18/09/2017:1500,15,4,Bambach
Yo-Lun Yang,Experimental studies and constitutive modelling of anelastic creep recovery during creep age forming,ictp-rpi-4,18/09/2017:1340,15,4,Lin
Yuguo An,A improved polycrystal plasticity model and its deployment in stretch forming for highly formable sheet steels,ictp-rpi-6,20/09/2017:1420,15,4,Madej
Yağız Azizoğlu,Finite Element Analysis of cold pilgering using elastic roll dies,ictp-rpi-7,21/09/2017:1540,15,4,S Yuan
Kailun Zheng,Investigation of the lubrication performance using WC: C coated tool surfaces for hot stamping AA6082,ictp-rpi-5,19/09/2017:1520,15,4,Mori
Xiaoning Han,Optimal Design of Geometric Parameters for SPF/DB 3-layer Structures,ictp-rpi-3,19/09/2017:1140,15,4,Bressan
Kai Han,One novel method to improve surface quality in incremental sheet forming,ictp-rpi-6,19/09/2017:1520,15,4,Homberg
Yanli Song,Formability of aluminum alloy thin-walled cylinder parts by servo hot stamping,ictp-rpi-6,20/09/2017:1000,15,4,Oldenburg
Tomohiko Hojo,Effects of Hydrogen on Tensile Properties at Slow Strain Rate of Ultra High-Strength TRIP-aided Bainitic Ferrite Steels,ictp-rpi-7,19/09/2017:1440,15,4,Tekkaya
Yongfeng Li,Identification of advanced constitutive model parameters through global optimization approach for DP780 steel sheet,ictp-rpi-5,19/09/2017:1100,15,4,van den Boogaard
Kazutake Komori,Improvement and validation of the ellipsoidal void model for predicting ductile fracture,ictp-rpi-1,19/09/2017:1220,15,4,Martins
Ali Abd El-Aty,"Experimental investigation of tensile properties and anisotropy of 1420, 8090, and 2060 Al-Li alloys sheet undergoing different strain rates and fibre orientation: a comparative study",ictp-rpi-9,21/09/2017:1020,15,4,Poole
Zeqi Hu,Welding Thermal Simulation and Metallurgical Characteristics Analysis in WAAM for 5CrNiMo Hot Forging Die Remanufacturing,ictp-rpi-3,19/09/2017:1600,15,4,Dean
Xianxian Wang,A unique spinning method for grain refinement: repetitive shear spinning,ictp-rpi-8,21/09/2017:1540,15,4,Nagy
Lei Mu,A Micromechanically-motivated Phenomenological Model for Predicting Ductile Fracture Initiation,ictp-rpi-6,21/09/2017:1500,15,4,Bouchard
Qi Rong,Experimental studies and constitutive modelling of AA6082 in stress-relaxation age forming conditions,ictp-rpi-4,18/09/2017:1500,15,4,Lin
Surangsee Dechjarern,Spinning Process Design Using Finite Element Analysis and Taguchi Method,ictp-rpi-6,21/09/2017:1240,15,4,Nagy
Yong Sun,Determination of microstructure evolution in metallic components introduced by Chain-die forming,ictp-rpi-4,20/09/2017:1200,15,4,Altan
Wenbin Zhou,A novel application of sideways extrusion to produce curved aluminium profiles: Feasibility study,ictp-rpi-8,19/09/2017:1100,15,4,Ghiotti
Jiuyang Pei,FEM simulation and experimental study of four-channel continuous sheathing process for large diameter aluminum sheathed cable,ictp-rpi-7,20/09/2017:1200,15,4,Y-M Hwang
Chunju Wang,Investigations on mechanical properties of copper foil under ultrasonic vibration considering size effect,ictp-rpi-1,18/09/2017:1700,15,4,Furushima
Kunio Hayakawa,A Joining Method of Shaft and Holed Part Using Plastic Deformation,ictp-rpi-8,18/09/2017:1320,15,4,Kitamura
Yanle Li,Effects of ultrasonic vibration on deformation mechanism of incremental point-forming process,ictp-rpi-5,18/09/2017:1300,15,4,Doflou
Hongliang Su,Investigation on the forming process and the shape control in electromagnetic flanging of aluminum alloy,ictp-rpi-4,20/09/2017:1540,15,4,Golovashchenko
Chen Qiang,Isothermal Precision forging of magnesium alloy components with high performance,ictp-rpi-2,20/09/2017:1000,15,4,Misiolek
Junghan Song,Effect of Pulsed Currents on the Springback Reduction of Ultra-High Strength Steels,ictp-rpi-2,21/09/2017:1520,15,4,Kinsey
Liangyun Lan,Hot plastic deformation behavior and its effect on microstructure of low carbon multi-microalloyed steel,ictp-rpi-7,18/09/2017:1400,15,4,Bambach
Dongsheng Qian,Experiment study on warm ring rolling of 52100 bearing steel coupling microstructure spheroidisation,ictp-rpi-8,18/09/2017:1520,15,4,Hirt
Jiadong Deng,FE simulation and experiment study on flow forming of inner-splined flange,ictp-rpi-3,18/09/2017:1400,15,4,Ou
Hongwei Li,Modeling of Forming Instability in In-plane Roll-bending Process by Considering Multi-modal Geometric Micro-defects of Strip,ictp-rpi-7,20/09/2017:1620,15,4,Takahashi
Wujiao Xu,Surface roughness controlling of AA6061 sheet under uniaxial tension,ictp-rpi-8,19/09/2017:1520,15,4,Pesin
Jieshi Chen,Theoretical prediction of high strength steel 22MnB5 forming limit in high temperature based on M-K model,ictp-rpi-3,20/09/2017:1100,15,4,Banabic
Wei Feng,Effect of Relief-hole Diameter on Die Elastic Deformation during Cold Precision Forging of Helical Gears,ictp-rpi-3,18/09/2017:1420,15,4,Ou
Fenggong Lyu,Numerical simulation for creep age forming of aluminium alloy 7050 saddle-shaped part,ictp-rpi-4,18/09/2017:1520,15,4,Lin
Lukasz Madej,Discrete modelling techniques in application to generation of 3D synthetic microstructures of porous metallic materials,ictp-rpi-5,19/09/2017:1220,15,4,van den Boogaard
Xianhong Han,Research on Q&P hot stamping process integrated with fractional cooling strategy,ictp-rpi-7,18/09/2017:1740,15,4,Brosius
Wojciech Misiolek,Development of extrusion technology for magnesium alloy ZE20,ictp-rpi-6,19/09/2017:1140,15,4,Ngaile
Zhengyi Jiang,Study of micro hydromechanical deep drawing of SUS304 circular cups by an ALE model,ictp-rpi-1,18/09/2017:1540,15,4,Furushima
Minoru Yamashita,Hole Making Process of Metal and Composite Sheets by Impact Hydraulic Pressure,ictp-rpi-4,19/09/2017:1600,15,4,Zhao
Xinping Chen,The Evaluation of Formability of the 3rd Generation Advanced High Strength Steels QP980 based on Digital Image Correlation Method,ictp-rpi-3,20/09/2017:1120,15,4,Banabic
Han Wang,The effect of finish rolling temperature on the microstructure and properties of non-quenched and tempered Bainite steel,ictp-rpi-6,18/09/2017:1700,15,4,Gronotstajski
Xin Zhang,Experimental study and analysis on the electrically-assisted tensile behaviors of Inconel 718 alloy,ictp-rpi-2,21/09/2017:1540,15,4,Kinsey
Akira Yanagida,Improvement of formability of AZ31magnesium alloy by repeated roll bending process,ictp-rpi-2,20/09/2017:1140,15,4,Misiolek
Yuki Nakagawa,Reduction in length of transient region in successive forging of tailored blank for hot stamping of ultra-high strength steel parts,ictp-rpi-7,18/09/2017:1700,15,4,Brosius
Changhong Cai,Wear behavior and subsurface layer work hardening mechanism of Fe-24.1Mn-1.21C-0.48Si steel,ictp-rpi-1,20/09/2017:1220,15,4,Matsumoto
Lili Guo,Modeling the microstructure evolution in AZ31 magnesium alloys during hot rolling,ictp-rpi-2,20/09/2017:1200,15,4,Misiolek
Jun Hu,Impact effect of superimposed ultrasonic vibration on material characteristics in compression tests,ictp-rpi-1,18/09/2017:1720,15,4,Furushima
Haiyan Zhang,Microstructure evolution of IN718 alloy during the delta process,ictp-rpi-2,18/09/2017:1320,15,4,Yanagimoto
Ping Lu,Research on Natural Element Method and the application to simulate metal forming processes,ictp-rpi-5,21/09/2017:1600,15,4,Loukaides
Chen Yin-Li,Study on Texture Evolution and Deformation Mechanism of the Cu-Ni-Si Alloy during Cold-rolling Treatment,ictp-rpi-2,18/09/2017:1400,15,4,Yanagimoto
Xiawei Feng,An Advanced 3D Mathematical Model for a 6-high Tandem Cold Rolling Process,ictp-rpi-2,21/09/2017:1020,15,4,Montmitonnet
Shunpei Kamitani,Improvement of surface quality of aluminum product in cold extrusion by using reuse tool with groove array formed on tool surface,ictp-rpi-7,20/09/2017:1020,15,4,Y-M Hwang
Saijun Zhang,Finite Element formulation of a general asymmetrical yield function for pressure sensitive metals,ictp-rpi-6,20/09/2017:1540,15,4,Madej
Konrad Perzynski,Evaluation of pulsed laser deposited thin films properties on the basis of the nanoindentation test,ictp-rpi-3,19/09/2017:1420,15,4,Dean
Chaoyang Sun,Size effect affected deformation characteristics in micro deep drawing of TWIP domed-bottom cups,ictp-rpi-7,21/09/2017:0940,15,4,Balan
Fumie Abe,Solidifying Behaviour of Metallic Powder in Selective Laser Melting Process,ictp-rpi-4,21/09/2017:1100,15,4,Beygelzimer
Rajesh Jarugula,Hot deformation behavior of n-ODS-18Cr steel,ictp-rpi-6,20/09/2017:1400,15,4,Madej
Soeren Gies,Effect of Workpiece Deformation on Joule Heat Losses in Electromagnetic Forming Coils,ictp-rpi-4,20/09/2017:1600,15,4,Golovashchenko
Wataru Oba,Two-step forming for improvement of forming limit in rotary nosing with relieved die for reduction of tube tip,ictp-rpi-3,21/09/2017:1000,15,4,Music
Alexander Pesin,Physical simulation of asymmetric sheet rolling process by multicycle shear-compression testing,ictp-rpi-1,21/09/2017:1620,15,4,Rosochowski
Bing Li,Characteristics of Microstructure Evolution of Two-phase H62 Brass Alloy During Continuous Extrusion,ictp-rpi-2,18/09/2017:1540,15,4,Yanagimoto
Denis Pustovoytov,Finite element simulation of extremely high shear strain during a single-pass asymmetric warm rolling of Al-6.2Mg-0.7Mn alloy sheets,ictp-rpi-1,21/09/2017:1440,15,4,Rosochowski
Peter Christiansen,Predicting the onset of cracks in bulk metal forming by ductile damage criteria,ictp-rpi-6,21/09/2017:1420,15,4,Bouchard
Xiaohui Chen,Effect of thermo-mechanical parameters on microstructure evolution of AZ91 magnesium alloy,ictp-rpi-2,20/09/2017:1020,15,4,Misiolek
Z.X. Li,A modified Johnson-Cook model of as-quenched AA2219 considering negative to positive strain rate sensitivities over a wide temperature range,ictp-rpi-5,20/09/2017:1020,15,4,F Yoshida
Min-A Woo,Numerical and experimental study on electrohydraulic forming process,ictp-rpi-9,19/09/2017:1120,15,4,Kinsey
